"trait","Geno_Code","pop","value","top_bottom_label"
"CL-blue","Z008E0105",8,103.14,"bottom"
"CL-blue","Z015E0135",15,103.17,"bottom"
"CL-blue","Z024E0105",24,103.19,"bottom"
"CL-blue","Z011E0181",11,103.26,"bottom"
"CL-blue","Z004E0110",4,103.29,"bottom"
"CL-blue","Z009E0122",9,103.31,"bottom"
"CL-blue","Z026E0032",26,103.32,"bottom"
"CL-blue","Z026E0057",26,103.46,"bottom"
"CL-blue","Z021E0160",21,103.49,"bottom"
"CL-blue","Z005E0006",5,103.58,"bottom"
"CL-blue","Z011E0195",11,103.61,"bottom"
"CL-blue","Z006E0069",6,103.69,"bottom"
"CL-blue","Z024E0026",24,103.7,"bottom"
"CL-blue","Z020E0159",20,103.72,"bottom"
"CL-blue","Z025E0088",25,103.72,"bottom"
"CL-blue","Z025E0106",25,103.77,"bottom"
"CL-blue","Z002E0113",2,103.79000000000002,"bottom"
"CL-blue","Z011E0129",11,103.82,"bottom"
"CL-blue","Z020E0053",20,103.82,"bottom"
"CL-blue","Z006E0101",6,103.86,"bottom"
"CL-blue","Z020E0116",20,103.86,"bottom"
"CL-blue","Z023E0086",23,103.9,"bottom"
"CL-blue","Z005E0058",5,103.92,"bottom"
"CL-blue","Z009E0082",9,103.94,"bottom"
"CL-blue","Z005E0191",5,103.98,"bottom"
"CL-blue","Z011E0098",11,104.02,"bottom"
"CL-blue","Z008E0192",8,104.02999999999999,"bottom"
"CL-blue","Z026E0200",26,104.05,"bottom"
"CL-blue","Z025E0059",25,104.08,"bottom"
"CL-blue","Z010E0155",10,104.13,"bottom"
"CL-blue","Z024E0070",24,104.2,"bottom"
"CL-blue","Z013E0126",13,104.23,"bottom"
"CL-blue","Z011E0107",11,104.24,"bottom"
"CL-blue","Z025E0111",25,104.3,"bottom"
"CL-blue","Z014E0188",14,104.33,"bottom"
"CL-blue","Z011E0132",11,104.43,"bottom"
"CL-blue","Z020E0080",20,104.46,"bottom"
"CL-blue","Z006E0183",6,104.49,"bottom"
"CL-blue","Z008E0026",8,104.53,"bottom"
"CL-blue","Z001E0100",1,104.55,"bottom"
"CL-blue","Z020E0068",20,104.58,"bottom"
"CL-blue","Z024E0167",24,104.58,"bottom"
"CL-blue","Z009E0038",9,104.59,"bottom"
"CL-blue","Z024E0109",24,104.6,"bottom"
"CL-blue","Z008E0153",8,104.61,"bottom"
"CL-blue","Z026E0151",26,104.63,"bottom"
"CL-blue","Z011E0191",11,104.66,"bottom"
"CL-blue","Z011E0131",11,104.74,"bottom"
"CL-blue","Z026E0053",26,104.74,"bottom"
"CL-blue","Z026E0010",26,104.75,"bottom"
"CL-blue","Z011E0104",11,104.78,"bottom"
"CL-blue","Z020E0113",20,104.81,"bottom"
"CL-blue","Z024E0058",24,104.81,"bottom"
"CL-blue","Z011E0047",11,104.82,"bottom"
"CL-blue","Z006E0017",6,104.85,"bottom"
"CL-blue","Z020E0141",20,104.86,"bottom"
"CL-blue","Z026E0123",26,104.98,"bottom"
"CL-blue","Z011E0194",11,105,"bottom"
"CL-blue","Z020E0074",20,105.05,"bottom"
"CL-blue","Z011E0054",11,105.11,"bottom"
"CL-blue","Z011E0085",11,105.13,"bottom"
"CL-blue","Z015E0133",15,105.15,"bottom"
"CL-blue","Z008E0094",8,105.18,"bottom"
"CL-blue","Z009E0181",9,105.19,"bottom"
"CL-blue","Z011E0164",11,105.23,"bottom"
"CL-blue","Z011E0006",11,105.29,"bottom"
"CL-blue","Z024E0155",24,105.33,"bottom"
"CL-blue","Z005E0113",5,105.34,"bottom"
"CL-blue","Z010E0180",10,105.37,"bottom"
"CL-blue","Z013E0092",13,105.39,"bottom"
"CL-blue","Z024E0157",24,105.39,"bottom"
"CL-blue","Z014E0017",14,105.43,"bottom"
"CL-blue","Z013E0125",13,105.47,"bottom"
"CL-blue","Z006E0012",6,105.5,"bottom"
"CL-blue","Z022E0030",22,105.54,"bottom"
"CL-blue","Z011E0096",11,105.60000000000001,"bottom"
"CL-blue","Z026E0146",26,105.60000000000001,"bottom"
"CL-blue","Z011E0178",11,105.65,"bottom"
"CL-blue","Z011E0070",11,105.68,"bottom"
"CL-blue","Z011E0043",11,105.69,"bottom"
"CL-blue","Z024E0163",24,105.71999999999998,"bottom"
"CL-blue","Z015E0151",15,105.73,"bottom"
"CL-blue","Z005E0077",5,105.76,"bottom"
"CL-blue","Z026E0198",26,105.77,"bottom"
"CL-blue","Z025E0193",25,105.78,"bottom"
"CL-blue","Z026E0166",26,105.8,"bottom"
"CL-blue","Z010E0081",10,105.81,"bottom"
"CL-blue","Z001E0199",1,105.85,"bottom"
"CL-blue","Z005E0163",5,105.85,"bottom"
"CL-blue","Z006E0008",6,105.9,"bottom"
"CL-blue","Z013E0119",13,105.9,"bottom"
"CL-blue","Z008E0110",8,105.92,"bottom"
"CL-blue","Z025E0099",25,105.95,"bottom"
"CL-blue","Z004E0019",4,106.02,"bottom"
"CL-blue","Z009E0093",9,106.09,"bottom"
"CL-blue","Z011E0031",11,106.11,"bottom"
"CL-blue","Z011E0120",11,106.13,"bottom"
"CL-blue","Z020E0036",20,106.13,"bottom"
"CL-blue","Z026E0153",26,106.14,"bottom"
"CL-blue","Z005E0070",5,106.19,"bottom"
"CL-blue","Z019E0099",19,106.2,"bottom"
"CL-blue","Z025E0066",25,106.26,"bottom"
"CL-blue","Z024E0084",24,106.39,"bottom"
"CL-blue","Z006E0122",6,106.43,"bottom"
"CL-blue","Z011E0109",11,106.45,"bottom"
"CL-blue","Z013E0024",13,106.46,"bottom"
"CL-blue","Z024E0033",24,106.48,"bottom"
"CL-blue","Z011E0056",11,106.5,"bottom"
"CL-blue","Z024E0025",24,106.5,"bottom"
"CL-blue","Z026E0038",26,106.5,"bottom"
"CL-blue","Z024E0078",24,106.52,"bottom"
"CL-blue","Z024E0104",24,106.52,"bottom"
"CL-blue","Z026E0069",26,106.52,"bottom"
"CL-blue","Z019E0082",19,106.53,"bottom"
"CL-blue","Z024E0090",24,106.64,"bottom"
"CL-blue","Z011E0188",11,106.66,"bottom"
"CL-blue","Z024E0062",24,106.69,"bottom"
"CL-blue","Z024E0196",24,106.69,"bottom"
"CL-blue","Z026E0051",26,106.71,"bottom"
"CL-blue","Z025E0074",25,106.73,"bottom"
"CL-blue","Z026E0163",26,106.75,"bottom"
"CL-blue","Z026E0121",26,106.87,"bottom"
"CL-blue","Z025E0069",25,106.88,"bottom"
"CL-blue","Z015E0024",15,106.89,"bottom"
"CL-blue","Z026E0072",26,106.92,"bottom"
"CL-blue","Z005E0008",5,107.06,"bottom"
"CL-blue","Z011E0024",11,107.11,"bottom"
"CL-blue","Z024E0142",24,107.12,"bottom"
"CL-blue","Z014E0066",14,107.16,"bottom"
"CL-blue","Z007E0125",7,107.18,"bottom"
"CL-blue","Z025E0143",25,107.18,"bottom"
"CL-blue","Z005E0045",5,107.29,"bottom"
"CL-blue","Z018E0111",18,107.29,"bottom"
"CL-blue","Z020E0163",20,107.33,"bottom"
"CL-blue","Z026E0150",26,107.34,"bottom"
"CL-blue","Z018E0026",18,107.4,"bottom"
"CL-blue","Z011E0015",11,107.43,"bottom"
"CL-blue","Z007E0128",7,107.44,"bottom"
"CL-blue","Z020E0173",20,107.45,"bottom"
"CL-blue","Z018E0170",18,107.51,"bottom"
"CL-blue","Z020E0131",20,107.52,"bottom"
"CL-blue","Z024E0043",24,107.52,"bottom"
"CL-blue","Z026E0018",26,107.58,"bottom"
"CL-blue","Z025E0123",25,107.61,"bottom"
"CL-blue","Z008E0198",8,107.62,"bottom"
"CL-blue","Z011E0084",11,107.63,"bottom"
"CL-blue","Z021E0114",21,107.64,"bottom"
"CL-blue","Z011E0001",11,107.65,"bottom"
"CL-blue","Z025E0077",25,107.66,"bottom"
"CL-blue","Z025E0105",25,107.66,"bottom"
"CL-blue","Z020E0182",20,107.69,"bottom"
"CL-blue","Z011E0095",11,107.73,"bottom"
"CL-blue","Z013E0124",13,107.73,"bottom"
"CL-blue","Z025E0112",25,107.73,"bottom"
"CL-blue","Z011E0192",11,107.76,"bottom"
"CL-blue","Z009E0078",9,107.77,"bottom"
"CL-blue","Z026E0140",26,107.78,"bottom"
"CL-blue","Z018E0097",18,107.79,"bottom"
"CL-blue","Z018E0069",18,107.82,"bottom"
"CL-blue","Z016E0028",16,107.83,"bottom"
"CL-blue","Z025E0052",25,107.86,"bottom"
"CL-blue","Z020E0128",20,107.88,"bottom"
"CL-blue","Z025E0084",25,107.9,"bottom"
"CL-blue","Z013E0091",13,107.94,"bottom"
"CL-blue","Z007E0008",7,107.95,"bottom"
"CL-blue","Z018E0165",18,108.04,"bottom"
"CL-blue","Z011E0027",11,108.07,"bottom"
"CL-blue","Z004E0131",4,108.08,"bottom"
"CL-blue","Z018E0051",18,108.1,"bottom"
"CL-blue","Z018E0115",18,108.11,"bottom"
"CL-blue","Z019E0074",19,108.19,"bottom"
"CL-blue","Z010E0021",10,108.22,"bottom"
"CL-blue","Z015E0051",15,108.23,"bottom"
"CL-blue","Z011E0151",11,108.25,"bottom"
"CL-blue","Z024E0162",24,108.26,"bottom"
"CL-blue","Z004E0107",4,108.29,"bottom"
"CL-blue","Z010E0009",10,108.3,"bottom"
"CL-blue","Z024E0153",24,108.3,"bottom"
"CL-blue","Z026E0199",26,108.31,"bottom"
"CL-blue","Z005E0100",5,108.32,"bottom"
"CL-blue","Z012E0121",12,108.35,"bottom"
"CL-blue","Z004E0071",4,108.36,"bottom"
"CL-blue","Z011E0025",11,108.41,"bottom"
"CL-blue","Z020E0065",20,108.41,"bottom"
"CL-blue","Z010E0107",10,108.43,"bottom"
"CL-blue","Z002E0072",2,108.45,"bottom"
"CL-blue","Z008E0133",8,108.45,"bottom"
"CL-blue","Z008E0148",8,108.47,"bottom"
"CL-blue","Z021E0140",21,108.47,"bottom"
"CL-blue","Z020E0047",20,108.48,"bottom"
"CL-blue","Z024E0129",24,108.48,"bottom"
"CL-blue","Z007E0017",7,108.52,"bottom"
"CL-blue","Z011E0100",11,108.52,"bottom"
"CL-blue","Z024E0131",24,108.53,"bottom"
"CL-blue","Z024E0050",24,108.54,"bottom"
"CL-blue","Z018E0150",18,108.55,"bottom"
"CL-blue","Z003E0185",3,108.58,"bottom"
"CL-blue","Z012E0125",12,108.59,"bottom"
"CL-blue","Z011E0075",11,108.6,"bottom"
"CL-blue","Z011E0121",11,108.63,"bottom"
"CL-blue","Z013E0075",13,108.66,"bottom"
"CL-blue","Z026E0060",26,108.73,"bottom"
"CL-blue","Z011E0052",11,108.75,"bottom"
"CL-blue","Z011E0081",11,108.76,"bottom"
"CL-blue","Z005E0076",5,108.81,"bottom"
"CL-blue","Z011E0013",11,108.82,"bottom"
"CL-blue","Z011E0041",11,108.82,"bottom"
"CL-blue","Z013E0103",13,108.82,"bottom"
"CL-blue","Z011E0022",11,108.83,"bottom"
"CL-blue","Z026E0189",26,108.84,"bottom"
"CL-blue","Z018E0114",18,108.85,"bottom"
"CL-blue","Z015E0077",15,108.87,"bottom"
"CL-blue","Z020E0085",20,108.89,"bottom"
"CL-blue","Z013E0066",13,108.91,"bottom"
"CL-blue","Z011E0103",11,108.94,"bottom"
"CL-blue","Z026E0031",26,109.02,"bottom"
"CL-blue","Z026E0015",26,109.12,"bottom"
"CL-blue","Z020E0005",20,109.13,"bottom"
"CL-blue","Z011E0089",11,109.16,"bottom"
"CL-blue","Z026E0147",26,109.19,"bottom"
"CL-blue","Z005E0192",5,109.22,"bottom"
"CL-blue","Z020E0048",20,109.24,"bottom"
