pop,Geno_Code,CL-blue
2,Z002E0063,138.66
2,Z002E0064,141.33
2,Z002E0065,137.18
2,Z002E0066,131.73
2,Z002E0068,141.07
2,Z002E0069,121.65
2,Z002E0070,137.97
2,Z002E0071,123.54
2,Z002E0072,108.45
2,Z002E0073,144.32
2,Z002E0074,141.75
2,Z002E0076,151.49
2,Z002E0077,125.3
2,Z002E0078,139.11
2,Z002E0079,141.37
2,Z002E0080,154.79
2,Z002E0081,155.07
2,Z002E0082,140.36
2,Z002E0083,145.17
2,Z002E0084,135.17
2,Z002E0085,132.86
2,Z002E0086,154.86
2,Z002E0087,140.13
2,Z002E0088,143.6
2,Z002E0089,141.91
2,Z002E0090,120.77
2,Z002E0091,141.43
2,Z002E0092,122.81
2,Z002E0094,133.68
2,Z002E0095,124.54
2,Z002E0096,135.72
2,Z002E0097,145.72
2,Z002E0098,121.3
2,Z002E0099,146.75
2,Z002E0100,133.39
2,Z002E0101,117.49
2,Z002E0102,137.27
2,Z002E0103,122.63
2,Z002E0104,139.28
2,Z002E0105,139.69
2,Z002E0106,138.46
2,Z002E0107,131.77
2,Z002E0108,140.87
2,Z002E0109,134.79
2,Z002E0110,146.78
2,Z002E0111,142.62
2,Z002E0112,162.71
2,Z002E0113,103.79
2,Z002E0114,146.89
2,Z002E0116,136.28
2,Z002E0117,123.88
2,Z002E0119,138.42
2,Z002E0120,140.06
2,Z002E0121,120.54
2,Z002E0122,133.18
2,Z002E0123,123.35
2,Z002E0124,149.56
2,Z002E0125,119.01
2,Z002E0132,139.96
2,Z002E0133,119.54
2,Z002E0134,131.96
2,Z002E0135,139.45
2,Z002E0136,118.24
2,Z002E0137,131.42
2,Z002E0138,129.32
2,Z002E0139,150.85
2,Z002E0140,139.59
2,Z002E0141,127.77
2,Z002E0143,146.47
2,Z002E0144,128.39
2,Z002E0145,159.05
2,Z002E0146,141.16
2,Z002E0148,122.04
2,Z002E0149,149.05
2,Z002E0150,131.64
2,Z002E0151,153.15
2,Z002E0152,123.48
2,Z002E0153,129.28
2,Z002E0155,137.94
2,Z002E0156,153.66
2,Z002E0157,139.38
2,Z002E0158,123.38
2,Z002E0159,142.68
2,Z002E0161,149.66
2,Z002E0162,118.08
